point_index,u,v,x,y,z,source_geodesic_distance
42254,0.7334459319,0.5366608342,296.318501,478.1041351,66.86238133,470.316303
42255,0.7293644493,0.542793312,279.3284376,473.8871162,65.18774953,470.566676
42256,0.7312432381,0.5400261682,288.8501369,476.2338403,63.55780494,470.4619831
42257,0.7298718744,0.542110488,283.86839,474.9902477,61.96914149,470.5506199
42258,0.7319025404,0.5391147458,294.0100784,477.4909757,60.41877954,470.4365344
42259,0.7287509272,0.5438552304,281.0477938,474.2721385,58.90406697,470.6308404
42260,0.7308852511,0.5407031272,291.6022592,476.8755026,57.42266251,470.5102799
42261,0.7294435097,0.5428893041,286.2090069,475.53093,55.97245226,470.602498
42262,0.7317139202,0.5395326206,297.3266559,478.2741114,54.55155215,470.4735689
42263,0.727382974,0.5460310096,279.0263326,473.7345338,53.15824329,470.7375575
42264,0.7297287853,0.5425605081,290.4417637,476.5517833,51.79099145,470.6039031
42265,0.7282006358,0.5448731919,284.5874776,475.0937694,50.44837678,470.7007927
42266,0.7306713806,0.541215052,296.5252842,478.0406525,49.12912147,470.5594888
42267,0.7270724555,0.5466183112,281.4167682,474.2918854,47.8320369,470.7794703
42268,0.7296292284,0.5428307278,293.7070358,477.3263063,46.55605379,470.6328541
42269,0.7280353509,0.5452395281,287.4985976,475.7811766,45.30016433,470.7332756
42270,0.7307077339,0.5412784286,300.2758979,478.936425,44.06345661,470.5796033
42271,0.7250002989,0.5498278294,275.7216134,472.8497003,42.84506472,470.9247775
42272,0.7277249125,0.5457879178,288.7061136,476.0564766,41.64421521,470.7678378
42273,0.7260400414,0.5483309017,282.0415559,474.398891,40.46015867,470.8733611
42274,0.7288734885,0.5441277391,295.4874197,477.7200988,39.29221874,470.7097967
42275,0.7248647452,0.5501394913,278.4513762,473.4950733,38.13974307,470.9535424
42276,0.727773523,0.5458231564,292.2112206,476.8942088,37.00214718,470.7853595
42277,0.7260280493,0.5484552077,285.2337261,475.1595431,35.8788575,470.8942238
42278,0.7290393075,0.5439852189,299.4300515,478.6669188,34.76935709,470.7198157
42279,0.7236403717,0.5520711983,276.1630834,472.899682,33.67313669,471.0460848
42280,0.7267084249,0.5475158091,290.5938407,476.4652643,32.5897478,470.8681804
42281,0.7248899386,0.5502556526,283.2541566,474.6412703,31.51873658,470.9811618
42282,0.7280554229,0.5455542349,298.1015618,478.3101586,30.45969834,470.7973494
42283,0.723685069,0.5521034268,279.3807352,473.6687145,29.41222741,471.0621632
42284,0.7269181421,0.547300571,294.5130024,477.4082727,28.37596832,470.8742264
42285,0.7250428236,0.5501242051,286.8879183,475.5139177,27.35055565,470.990391
42286,0.728368677,0.5451823338,302.4182328,479.3521578,26.33566634,470.7968361
42287,0.7218518933,0.5549351153,274.1082132,472.3370165,25.33096734,471.1892584
42288,0.7252225876,0.5499258303,289.8239827,476.2212992,24.33617795,470.9929453
42289,0.7232725089,0.5528601458,281.8374615,474.2377243,23.35099515,471.1133842
42290,0.726732307,0.5477173902,297.9366192,478.217044,22.3751569,470.9116826
42291,0.7220214899,0.5547730135,277.6424043,473.1866017,21.4083882,471.1964124
42292,0.7255432167,0.5495373835,294.0046681,477.2311738,20.45045766,470.9909449
42293,0.7235397824,0.5525505256,285.7551444,475.1827198,19.50111313,471.1144028
42294,0.7271470087,0.5471868525,302.4861581,479.318692,18.56013927,470.9037702
42295,0.7208612132,0.5565931037,275.1539092,472.5460799,17.62730241,471.2821236
42296,0.7245157542,0.5511584168,292.0842376,476.7315,16.70241547,471.0686031
42297,0.7224481684,0.5542665885,283.526216,474.60688,15.78526256,471.195739
42298,0.726185206,0.5487083805,300.8131026,478.8806713,14.87566474,470.9772395
42299,0.7211627465,0.556227782,279.0853081,473.4957385,13.97342322,471.2802404
42300,0.7249571707,0.5505835587,296.6174483,477.8303407,13.0783805,471.0582602
42301,0.7228389756,0.5537666128,287.813411,475.6450036,12.19035182,471.1882812
42302,0.7267130073,0.5480032146,305.6902425,480.06503,11.30918714,470.9615002
42303,0.7187031648,0.5599820831,270.6387927,471.381771,10.43471108,471.4422451
42304,0.7402053899,0.5253114439,290.3015727,476.9076927,119.3940015,469.6718864
42305,0.7388227181,0.5276393778,291.9243569,477.2426775,108.2314554,469.8045753
42306,0.7401430986,0.5253319924,293.0416442,477.4732955,118.7417536,469.6529837
42307,0.737064044,0.5306015888,293.9498156,477.660785,94.03554158,469.9737078
42308,0.7391719799,0.5269495077,294.7351014,477.8228651,110.8707372,469.7410121
42309,0.7375131355,0.5297817868,295.436984,477.9677608,97.54832849,469.9118192
42310,0.7403800386,0.5248282843,296.0774659,478.0999442,120.4690194,469.5993297
42311,0.734787732,0.5344325537,296.6702998,478.2223633,75.65574792,470.1916994
42312,0.7380141579,0.528863119,297.224762,478.3367875,101.460114,469.841574
